filename,card_name,card_type,hp,fortress_hp,attack,attack_buff,hp_buff,misc_stat,description,has_special,notes
SKIN_FISHED.jpg,SKINFISHED,item_consumable,,,,,,,"When played, the first person to call the last person they went on a date with kills their enemy unit in combat.",N,The card is consumable and does not have any numeric stats.
SMALL_MAN_WITH_BUG_PLANS.jpg,LIL' BUG BOY,entity,3.0,,3.0,,,status: BUG WHISPERER,Bimbus Bugsley can roll a 5 or below to force an enemy bug to attack one of its teammates after his attack turn.,Y,"The attack value is based on the dice shown, and the special ability is indicated by the yellow header."
SMOKING_MACHINE_MK1.jpg,SMOKING MACHINE MK.1,item_consumable,,,,2.0,-1.0,roll <=5,"At the end of each turn, roll a 5 or below. On hit, all entities lose 1 HP due to secondhand smoke.",Y,"The HP buff indicates a negative effect on entities, which is unusual but noted as -1."
SMUCKLE.jpg,SMUCKLE,entity,1.0,,2.0,,,roll <=2,SMUCKLE can attack by rolling a die and succeeding on a roll of 2 or below.,N,The HP and attack values are based on the visible pips in the respective boxes. The attack condition is inferred from the text.
SNAIL_RIDER.jpg,SNAIL RIDER,entity,4.0,,,,,roll <=3,Entity cannot retreat because it's too slow.,Y,"The HP is based on the 4 pips in the HP box. Attack is not defined, so it's null."
SNEEFUS.jpg,SNEEFUS,entity,3.0,,,,,species: BENGUIN,"SNEEFUS can slide out of combat without an enemy retreat attack, allowing free retreats.",Y,"The attack value is not specified on the card, so it is set to null."
TERRANCE_MOUSE.jpg,Terrance Mousethaniel,entity,2.0,,3.0,,,roll <=3,"Terrance Mouse is Mickey's less famous brother, Terry. To attack, roll a 3 or below.",N,"The attack value is based on the pips shown in the attack box, and the HP is based on the pips in the HP box."
THUMB_WAR.jpg,MEAT SHOW,item_consumable,,,,,,,Challenge your enemy to a thumb war. The winner (best 2 out of 3) instantly kills the opponent entity.,N,The card is consumable and does not provide any buffs or stats.
Tacticalstickcopy.jpg,TACTICAL STICK,item_consumable,,,,,-3.0,,"You can pull the pin on the grenade, damaging your target by -3 HP. This item is destroyed in the process.",Y,"The HP buff is negative, indicating damage dealt to the target."
Toefactorycopy.jpg,TOE TRUCK,item_regular,,,,3.0,2.0,,A vehicle converted from the appendage of a giant Nephilim. Entities crawl under the nail for protection.,N,The card does not have a special header and is classified as a regular item.
WORMSON_WORMLEY.jpg,Wormson Wormley,entity,2.0,,,,,roll <=3,"Don't interfere: he's off to work, and he cannot be late!",N,"The attack value is not defined on the card, so it is set to null."
ZARK.jpg,ZARK,entity,3.0,,3.0,,,,Zark has 3 HP and can attack with a bite if the roll is 3 or below.,N,The attack value is based on the roll threshold provided.
accountantcopy.jpg,ACCOUNTANT ON THE HUNT FOR FILES & DOCUMENTS,item_consumable,,,,,,,Summon the accountant to confiscate up to 4 items from your enemies in battle.,N,The card is consumable and has no special header.
appaaratuscopy.jpg,APPENDAGE LENGTHENING APPARATUS,item_consumable,,,,,3.0,,Add 3 HP to all your entities in this battle.,N,The card is consumable and does not have a special header.
automatedbookcopy.jpg,AUTOMATED BOOK WRITER,item_consumable,,,,,,,Explain the rules of the game to a large language model A.I. and select one of five new rules it generates to play with until the end of the game.,N,The card is consumable and does not have any special header.
baby_tattoo.jpg,Felonious Tattoo Parlour,item_consumable,,,,,,roll <=60 seconds,"Challenge your enemy to draw the best tattoo in 60 seconds. If you lose, the entity holding this item dies; if you win, you choose a combat enemy to die.",N,The card is consumable and does not provide any HP or attack stats.
bambooswitcharoocopy.jpg,THE BAMBOO SWITCHAROO,item_consumable,,,,,,extra -1 HP damage,"Sneak bamboo into your enemy's bones, causing them to take extra damage in battle.",N,The card is consumable and does not have a special header.
bargaincopy.jpg,BARGAIN BIN SURGERY BOT,item_consumable,,,,,,status: RESURRECT ENTITY,"Discard 7 cards from your hand to resurrect an entity that just died, bringing it back with only 1 HP.",Y,"The card is a consumable item with a special ability, hence the special flag is set to true."
beanscopy.jpg,BEANS,item_consumable,,,,,2.0,,You gain +2 HP.,N,The card is consumable and provides a clear HP buff.
big_boy_hat.jpg,BIG BOY HAT (XTRA LONGE),item_consumable,,,,2.0,1.0,status: INCONVENIENT LENGTH,"If your enemy is also wearing a hat, on hit, you knock off their hat. Their hat goes in the discard pile.",Y,"The attack buff is based on the pips shown in the attack buff box, and the HP buff is based on the HP buff box. The special rule is clearly indicated."
bionicuscopy.jpg,Bionicus Brunkle,entity,3.0,,,,,roll <=3,"A cyborg that escaped from a state surveillance program, it has a motivation related to cucumbers.",N,"The attack value is not defined on the card, so it is set to null."
bjorkneliuscopy.jpg,BJÖRKNELIUS,entity,3.0,,5.0,,,,He got to choose his weapon first since he's the boss' favorite.,N,"The attack value is based on the roll threshold mentioned, which indicates a maximum of 5."
bloodstrawberrycopy.jpg,BLOOD STRAWBERRY,item_consumable,,,,,2.0,,Heal for 2 HP.,N,The card is consumable and does not have a special header.
boomerismcopy.jpg,Boomerism,item_consumable,,,,,,status: TIME PARASITE,"You can leech off your allies! After your turn, increase your HP by decreasing your allies' by the same amount. You cannot exceed your max HP.",Y,"The card is consumable as it does not have its own HP or attack, and it has a special effect."
brick2.0copy.jpg,BRICK 2.0,item_regular,,,,4.0,,status: SPECIAL,"If your enemy rolls a 6 against you when attacking, they throw you into the discard pile for immediate death.",Y,"The attack buff is based on the roll indicated, but the card does not specify a base attack value."
brick3.0copy.jpg,BRICK 3.0,item_regular,,,,,,roll <=3,Use this to access the Brick mainframe.,N,The card does not indicate any special abilities or consumable status.
brickpartscopy.jpg,MISC. BRICK PARTS,item_consumable,,,,,,reset HP to 12 or 18,"This card allows you to exceed all fortress HP for the battle, resetting HP based on the number of HP dice rolled.",N,"The card does not have its own HP or attack values, and the special rules are related to resetting HP."
bugcessoriescopy.jpg,BUGCESSORIES,item_regular,,,,1.0,3.0,roll = 6,"If you roll a 6 during an attack, you lose 1 HP due to a bug bite.",N,"The card does not have a special header, and it is not a consumable item."
catwitdagatcopy.jpg,CAT WIT DA GAT,entity,2.0,,3.0,,,status: 9 LIVES,"If the cat gets killed, roll a 2 or below. If you hit, the entity comes back to life with 1 HP.",Y,"The attack value is based on the sum of the pips in the attack box, which shows 3 pips."
cloudfactorycopy.jpg,CLOUD FACTORY,fortress,,6.0,,2.0,1.0,,"This fortress produces toxic gas. You can roll a 2 or below at the beginning of your battle to hit all enemies, causing them to lose 1 HP.",Y,"The fortress HP is based on the total pips in the HP box, and the attack and HP buffs are derived from their respective boxes."
co2lasercopy.jpg,SLOW FLOW CO2 LASER,item_regular,,,,5.0,1.0,status: FRAGILE WORMS,This item adds 5 to the attack of an entity and subtracts 1 HP from the entity due to fragile worms.,Y,The attack buff and HP buff are derived from the respective dice shown. The special effect indicates a unique damage mechanic.
compasshatcopy.jpg,POLITICAL COMPASS HAT,item_consumable,,,,,-1.0,,"This hat analyzes your enemy's weaknesses, causing every hit to deal an additional 1 HP damage.",Y,The HP buff indicates a reduction of 1 HP from the entity wearing the hat.
corned_cream.jpg,CORNED CREAM,item_consumable,,,,,4.0,,Heals either an entity or fortress by +4 HP.,N,The card is consumable and does not have a special header.
couldreadcopy.jpg,I WISH I COULD READ,item_consumable,,,,,,,"When played, the effect of any consumable card or special is nullified (because you can't read).",N,The card is a consumable item with no numeric stats.
creditunioncopy.jpg,GOOSNAV CREDIT UNION,fortress,,6.0,,2.0,2.0,,"At the end of your combat turn, roll a 3 or below. If you hit, draw and deploy a card from your deck (except fortresses).",Y,The fortress has a total of 6 HP from the HP box and an attack buff of 2 from the attack buff box.
crueltrickcopy.jpg,A CRUEL TRICK,item_consumable,,,,,1.0,roll <=4,"Roll a 4 or below to hit. If successful, the enemy returns to their deck and discards all equipped items. Rolling a 6 grants +1 HP.",N,The card is consumable and does not have a special header.
cubexcopy.jpg,CUBEX,item_consumable,,,,,,,"At any point in the game, you can play this card to choose an enemy entity and pack it into the Cubex, returning it to the deck along with any items it was holding.",N,The card is clearly labeled as consumable and does not have any special header.
cugcopy.jpg,CUG,entity,1.0,,2.0,,,,This entity has 1 HP and can attack with a roll of 2 or below.,N,"The attack value is based on the pips shown in the attack box, which sums to 2."
curseoftimecopy.jpg,THE CURSE OF TIME,item_consumable,,,,,,roll <=4,"Play this at any time. Roll a 4 or below. If you hit, your enemy must discard all cards in their hand, then draw 7 new cards.",N,The card is consumable and does not have its own HP or attack values.
cybertoadecopy.jpg,CYBERTOADE,entity,6.0,,,4.0,4.0,,"This card provides a significant attack and HP buff to entities, but requires painful surgery to use.",N,"The HP is calculated from the two pips in the HP box (3+3), and the attack buff and HP buff are both from the respective dice boxes (4+4)."
dalisconvoycopy.jpg,DALI'S CONVOY,fortress,,6.0,,,2.0,status: harder to hit,"Enemies must roll two dice instead of one to hit entities in the fortress, and both must hit.",Y,"The fortress HP is calculated from the pips in the HP box, and the HP buff is from the HP buff box. The special rule is explicitly labeled."
desperatecopy.jpg,DESPERATE MEASURES,item_consumable,,,,,2.0,status: SLIME & GRIME- (subtract 1 ATK from entity),"If you're in dire straits, you can eat your cards. Draw a card randomly from your deck & discard it. This recovers +2 HP to max.",Y,"The HP buff is based on the effect described, and the attack buff is not applicable as it states a negative effect instead."
devicecopy.jpg,Righteous indignation DEVICE,item_consumable,,,,3.0,0.0,status: SLOT MACHINE-ALGORITHM,"(If you choose) once during a battle, you and your enemy have 30 seconds to take a photo. The funnier photo wins, and the loser's entity loses -2 HP (loser's choice).",Y,"The HP buff is indicated as 0 since it doesn't provide a positive buff, and the attack buff is clearly stated."
dilemmacopy.jpg,TRANSHUMAN DILEMMA,item_consumable,,,,,,,"If you or an ally die in battle, your items transfer to your allies or are sold, instead of being discarded.",Y,The card is consumable as it does not have its own HP or attack and has a special effect.
dirtcoffeecopy.jpg,Dirt Coffee,item_consumable,,,,-1.0,2.0,,"After your attack roll, you can discard a random card from your deck to recover up to +2 HP.",Y,"The attack buff is negative (-1), indicating a reduction in attack. The HP buff is +2, as stated in the description."
dirtopscopy.jpg,MULCH OPERATOR,entity,2.0,,4.0,,,,"This worm operator can target up to three enemies at once, rolling one die per enemy/fortress being targeted.",Y,The attack value is based on the pips shown in the attack box. The HP is based on the pips in the HP box.
doomscrollcopy.jpg,DOOMSCROLL DAMPENER,item_consumable,,,,1.0,1.0,status: UNOPPOSABLE_THUMB,"While equipped, if your enemy uses their phone at any time during the game, they must discard from their deck. If you use your phone, your entity blows up.",Y,The attack buff and HP buff are based on the visible pips in the respective boxes. The description summarizes the card's effect.
dreamcrushercopy.jpg,MOBILE DREAM CRUSHER,item_regular,,,,,,status: WAGES (-2 HP from entity),"Instead of an attack roll, you can discard a random card from your deck. Your enemy target automatically loses -1 HP.",Y,"The card is an item with no inherent HP or attack values, but it has a special effect."
eggslycopy.jpg,GERALD EGGSLY,entity,4.0,,3.0,,,status: ROLL 3 OR BELOW,"At the end of your combat turn, roll a 3 or below. If you hit, you eat an egg you saved, recovering +1 HP.",Y,The HP and attack values are based on the sum of the pips shown on the dice. The special ability is indicated by the yellow header.
enhelmetcopy.jpg,EMOTIONAL NULLIFICATION HELMET,item_consumable,,,,,2.0,,"This device allows you to deal additional damage at the cost of your own health. Each hit removes 2 HP from the enemy, but you lose 1 HP as well.",Y,The HP buff is based on the visible pips in the HP buff box.
evictedcopy.jpg,EVICTED FROM SHELL,item_consumable,,,,,,,"Play this card at any time. Your enemy must go outside and come back. While they are gone, you can look through their cards and reorganize them any way you want. You may also discard 3 of their cards (your choice).",N,The card is consumable and does not have any special header.
footoilcopy.jpg,FOOT OILING MACHINE,item_consumable,,,,-1.0,1.0,,This item provides a +1 HP buff and a -1 attack debuff to entities. Any special or consumable attack is nullified if you roll a 1 after your enemy attacks.,Y,"The attack buff is negative, indicating a debuff to the enemy's attack. The HP buff is positive, providing a benefit."
fortresscopy.jpg,BRICK 2.0,item_regular,,,,1.0,1.0,,This item adds 1 HP and 1 attack to an entity when equipped.,N,"The card does not have a special header, and it is not a consumable item."
freakcopy.jpg,FREAK,entity,2.0,,3.0,,,,Roll 3 or below to attack.,N,The attack value is based on the pips shown in the attack box.
freewillcopy.jpg,PHONE WITH FREE WILL,entity,2.0,,3.0,,,occupation: GOONBOT,"Once during the game, you can roll a 4 or below to trade places with an enemy. If you roll a 6, this entity dies.",Y,The HP and attack values are based on the visible pips on the dice.
fubalboyecopy.jpg,FUBAL BOYE,entity,2.0,,3.0,,,roll <=4,"Throw him at an enemy. He will explode and die. Roll a 4 or below. If you hit, the enemy loses 3 HP.",Y,The attack value is based on the pips shown in the attack box. The HP and attack values are clear from the dice shown.
funnybusinesscopy.jpg,FUNNY BUSINESS,item_consumable,,,,,,,"Set a timer for 60 seconds. You and an enemy must write a joke before the timer ends. The funniest one wins, judged by a third player or an A.I. LLM. The loser's entity dies.",N,The card is consumable and does not provide any HP or attack stats.
gasolinephonecopy.jpg,Gasoline Powered Phone,item_consumable,,,,2.0,2.0,,"At the beginning of combat, the first person to call a third person does -1 HP damage to all combat enemies.",Y,The attack and HP buffs are based on the visible pips in the respective boxes.
gatwitdachizcopy.jpg,GAT WIT DA CHIZ,entity,2.0,,1.0,,,roll <=2,This entity has 2 HP and can attack with a roll of 2 or below.,N,The attack value is based on the roll threshold provided.
glovesockscopy.jpg,GLOVE SOCKS,item_regular,,,,,2.0,status: WARMTH,Adds 2 HP to an entity.,N,"The card does not have a special header, and it is not a consumable item."
glutonouscopy.jpg,GLUTTONOUS BASTARD,entity,3.0,,3.0,,,roll <=3,This entity has 3 HP and can attack with a roll of 3 or below.,N,
gnomearmorercopy.jpg,Automated Gnome Armorer,item_regular,,,,-1.0,4.0,,"At the beginning of a battle, roll a 3 or below. If you hit, draw a random card. If it is an item you can equip, keep it. Otherwise, return it to the deck.",Y,"The attack buff is negative, indicating a reduction in attack. The HP buff adds to an entity's HP, but the card itself does not have HP or attack."
gnomedeplacatorcopy.jpg,Gnome Deplacator,item_regular,,,,1.0,,,"In combat, allies get an additional bonus attack on death.",Y,"The attack buff is derived from the 'Steely Knife' icon, which indicates a +1 attack bonus."
gnomedynamicscopy.jpg,Gnome Dynamics (MK 1),entity,4.0,,1.0,,,,"If an enemy rolls a 6 against this entity, the log explodes, taking the enemy that killed it with it.",Y,"The HP is calculated from the 4 pips in the HP box, and the attack is from the single pip in the attack box."
goonmeistercopy.jpg,THE GOONMEISTER,entity,2.0,,3.0,,,status: LOTION,You can smell him coming from a mile away.,N,The HP and attack values are based on the pips shown in the respective boxes.
goosecopy.jpg,GOOS NAVIGATOR,entity,4.0,,3.0,,,goose type: HUNGARIAN,"At the end of your combat turn, roll a 3 or below. If you hit, the goose navigates you to the back door of your enemy's fortress, locking them out and allowing you to own the fortress.",Y,"The attack value is based on the dice shown, which indicates a roll of 3 or below."
goosfaucetcopy.jpg,GOOS FAUCET,item_consumable,,,,,1.0,,All your troops in battle gain +1 HP.,N,"The card is consumable and provides an HP buff, but does not have any special rules or additional stats."
gorfieldcopy.jpg,Görfield,entity,2.0,,3.0,,,status: GLUTTONY,"Don't let him near a plate of spaghetti or he'll ruin his nice, white gloves.",N,The attack value is based on the roll threshold of 3 or below.
govwelfarecopy.jpg,Government Welfare,item_consumable,,,,,,,Play this card at any time. All enemies must discard one random card from their hand. You draw and play 3 random cards from your deck.,N,The card is consumable and does not provide any HP or attack values.
grentcopy.jpg,GRENT,fortress,,4.0,,,1.0,,This fortress allows entities inside to attack in battle but they cannot leave until the battle is over. The tree can also walk into battle at any time.,Y,"The fortress HP is calculated from the pips in the HP box, and the HP buff is from the 'BARK+' icon."
gunchcopy.jpg,Gunch's Galleon,fortress,,8.0,,0.0,3.0,roll <=4,"After your combat turn, roll a 4 or below. On hit, an enemy fortress loses 3 HP. If the enemy fortress survives the battle, all HP returns.",Y,"The fortress HP is based on the pips in the HP box. The attack buff is not present, and the HP buff is derived from the HP buff box. The special ability is indicated by the yellow header."
hathanielcopy.jpg,HATHANIEL,entity,12.0,,1.0,,,appendages: 1,An unholy hybrid between a hermit crab and a man.,N,HP is calculated from the 3 green pips in the HP box (4+4+4=12). Attack is from the single pip in the attack box. No special abilities or buffs are indicated.
heatedshowercopy.jpg,HEATED SHOWER IN A CAN,item_consumable,,,,2.0,1.0,,"If you roll a 6, the lithium ion battery explodes, injuring you by -1 HP. You must then discard this item.",Y,"The attack buff is based on the pips shown in the attack buff box, and the HP buff is based on the pips in the HP buff box."
hernandocopy.jpg,HERNANDO HERNANDEZ,entity,3.0,,3.0,,,,He harbors a secret. Hopefully you don't learn it when it's too late.,N,"The attack value is based on the roll threshold of 3, which is interpreted as the total pips in the attack box."
hobarthcopy.jpg,HOBARTH,entity,3.0,,3.0,,,roll <=2,"At the end of an attack round, roll a 2 or below. If you hit, you cause an enemy's item to disappear (enemy's choice).",Y,"The attack value is based on the dice shown, which indicates a roll of 3."
hotdogcopy.jpg,HOTDOG OF TORMENT & DESPAIR,item_consumable,,,,,4.0,,"You gain +4 HP, but an ally must lose -1 HP from despair. You can exceed your base HP.",N,The card is consumable and does not have a special header.
humbertcopy.jpg,HUMBERT,entity,2.0,,1.0,,,roll <=3,The Humbert knows where it is because it knows where it isn't.,N,The attack value is based on the single pip shown in the attack box.
imalleyescopy.jpg,I'M ALL EYES,entity,3.0,,1.0,,,roll <=2,A silly little idiot who keeps kicking due to a small bio-fission reactor where his gallbladder should be.,N,The attack value is based on the single pip shown in the attack box.
imposterkitecopy.jpg,IMPOSTER KITE,entity,1.0,,,,,roll <=2,This imposter is pretending to be a kitey kait.,N,The HP is based on the single pip in the HP box. Attack is not defined for this entity.
indignationcopy.jpg,Righteous Indignation,item_regular,,,,3.0,,,This item adds 3 attack to an entity when used.,N,The card does not have a special header and does not provide HP or fortress HP.
